WISE Name,Catalog,GLong<br>(deg.),GLat<br>(deg.),Radius<br>(arcsec.),HII Region,Membership,VLSR<br>(km/s),Author,VLSR (Mol.)<br>(km/s),Molecule,KDAR,Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,RGal<br>(kpc),z<br>(pc),GLIMPSE 8um<br>(Jy),WISE 12um<br>(Jy),WISE 22um<br>(Jy),MIPSGAL 24um<br>(Jy),Hi-Gal 70um<br>(Jy),Hi-Gal 160um<br>(Jy),HRDS 3cm<br>(Jy),MAGPIS 20cm<br>(Jy),VGPS 21cm<br>(Jy)
G018.832-00.300,K,18.832,-0.300,42,LA409; W39,,46.4,Anderson et al. (2011),42.7,HCO+,F,12.4,00.4,HIEA/Kin,05.1,-064,2.90,3.24,11.09,12.48,390.16,573.64,240.64,0.12,0.16
G018.851-00.482,G,18.852,-0.481,28,,G018.881-00.493; W39,,,65.4,13CO,,,,,04.4,,2.96,1.76,4.16,5.35,74.19,74.37,0.00,0.00,0.00
G018.881-00.493,K,18.881,-0.493,109,G018.881-00.493; W39,G018.881-00.493; W39,65.5,Lockman (1989),65.4,13CO,N,04.6,00.4,HIEA+HISA/Kin,04.4,-039,52.25,69.79,225.11,234.87,2854.56,7797.72,0.00,3.38,2.75
G018.884+00.049,C,18.884,0.049,67,,,,,49.4,NH3,,,,,05.0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G018.906-00.626,Q,18.906,-0.626,27,,,,,64.5,13CO,,,,,04.4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G018.914-00.329,K,18.914,-0.329,773,LA411; W39,LA411; W39,68.0;36.2,Anderson et al. (2011),,,,,,,,,1861.02,2034.46,4529.91,4360.91,58965.84,98964.41,3948.12,112.45,61.22
G018.949-00.492,G,18.950,-0.491,114,,LA411; W39,,,,,,,,,,,55.40,62.42,154.53,160.85,1619.78,2040.68,0.00,1.54,0.00
G018.950-00.776,Q,18.951,-0.775,39,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G018.950-00.011,C,18.951,-0.011,45,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G018.978+00.030,K,18.978,0.031,275,G018.954-00.019,,52.3,Lockman (1989),,,N,04.0,00.4,HIEA+HISA/Kin,04.9,0002,215.17,187.16,277.70,268.35,5824.44,18359.44,0.00,2.45,0.00
G019.003-00.085,C,19.003,-0.085,24,,,,,62.1,NH3,,,,,04.5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.003+00.128,C,19.003,0.128,27,,,,,68.0,HCO+,,,,,04.3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.030+00.423,K,19.031,0.424,77,G019.032+00.425,,25.4,Anderson et al. (2011),,,F,13.7,00.5,HIEA/Kin,06.3,0101,1.97,2.67,3.30,3.41,50.21,158.56,97.97,0.12,0.21
G019.045-00.588,K,19.045,-0.588,120,G019.050-00.593,G019.050-00.593,68.2,Lockman (1989),68.4,13CO,N,04.7,00.4,HIEA+HISA/Kin,04.3,-048,76.68,88.24,125.95,122.68,1885.98,4819.12,0.00,1.18,1.05
G019.064-00.282,K,19.064,-0.282,79,G019.066-00.281; W39,G019.066-00.281; W39,64.4,Quireza et al. (2006),65.2,HCO+,N,04.6,00.4,HIEA+HISA/Kin,04.4,-022,36.05,51.58,192.67,151.07,1886.57,3103.29,0.00,2.04,0.00
G019.077-00.291,G,19.078,-0.291,31,,G019.066-00.281; W39,,,65.2,HCO+,N,04.6,00.4,HISA (Mol)/Kin,04.4,-023,11.27,7.92,23.46,5.75,1522.29,2812.41,0.00,0.55,0.21
G019.095-00.719,G,19.096,-0.718,157,,G019.050-00.593,,,,,,,,,,,3.89,4.72,1.13,0.87,31.91,-191.66,0.00,0.00,0.23
G019.110-00.604,G,19.111,-0.603,245,,G019.050-00.593,,,,,,,,,,,37.35,41.91,139.12,134.16,1318.75,1878.90,0.00,2.94,1.20
G019.122-00.263,K,19.123,-0.262,65,LA511; W39,,56.0;100.4,Anderson et al. (2011),101.2,HCO+,,,,,03.5,,6.05,5.49,2.52,2.86,116.35,438.67,354.44,0.24,0.21
G019.134-00.648,C,19.134,-0.647,46,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.146+00.355,C,19.146,0.355,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.153-00.310,C,19.154,-0.309,94,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.167-00.018,C,19.167,-0.017,103,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.220-00.642,Q,19.220,-0.642,36,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.254+00.146,Q,19.255,0.147,39,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.309-00.375,Q,19.309,-0.374,73,,,,,44.9,HCO+,,,,,05.2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.340-00.170,Q,19.340,-0.170,46,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.356-00.035,Q,19.356,-0.034,26,,,,,26.3,HCO+,,,,,06.3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.360-00.014,C,19.360,-0.014,42,,,,,26.3,HCO+,,,,,06.3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.362-00.097,Q,19.362,-0.097,95,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.365-00.030,C,19.366,-0.029,32,,,,,26.3,HCO+,,,,,06.3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.389-00.038,Q,19.390,-0.038,61,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.466+00.168,K,19.466,0.168,287,G19.4-1,,19.9;109.3;70.8,Anderson et al. (2017),,,,,,,,,23.24,23.32,88.17,88.63,1514.74,4617.19,0.00,2.31,2.00
G019.474+00.169,G,19.474,0.169,38,,G019.485+00.138,,,22.2,NH3,,,,,06.6,,2.64,2.25,6.70,8.39,414.30,1752.75,0.00,0.05,0.00
G019.480+00.155,K,19.481,0.156,52,G019.485+00.138,G019.485+00.138,19.8,Lockman (1989),22.2,NH3,F,14.1,00.6,HIEA+HISA/Kin,06.7,0038,7.51,8.12,15.03,15.80,461.18,1525.30,0.00,0.23,0.00
G019.489+00.135,K,19.490,0.135,52,G019.485+00.138,G019.485+00.138,19.8,Lockman (1989),24.8,HCO+,N,01.9,00.6,HISA (Mol)/Kin,06.7,0004,10.44,15.81,57.60,45.14,727.88,1203.57,0.00,0.76,0.93
G019.493-00.206,G,19.494,-0.205,19,,G019.504-00.193,,,39.4,HCO+,,,,,05.5,,1.15,0.90,1.27,1.96,51.19,96.62,0.00,0.02,0.00
G019.494-00.150,K,19.494,-0.149,116,G019.492-00.150a,,32.1;54.6,Anderson et al. (2011),,,,,,,,,5.82,8.95,17.91,18.91,172.89,23.67,386.80,0.37,0.32
G019.504-00.449,Q,19.504,-0.449,51,,,,,63.0,NH3,N,04.5,00.4,IRDC+HISA (Mol)/Kin,04.5,-035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.504-00.193,K,19.505,-0.193,51,G019.504-00.193,G019.504-00.193,37.8,Anderson et al. (2011),39.4,HCO+,F,12.8,00.4,HIEA/Kin,05.6,-043,3.54,3.29,5.59,6.87,177.09,486.98,168.41,0.15,0.20
G019.516+00.084,C,19.517,0.084,58,,,,,123.0,NH3,F,09.3,02.8,IRDC+HISA (Mol)/Kin,03.1,0013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.554-00.248,K,19.554,-0.248,191,G019.608-00.235,,41.0,Lockman (1989),,,F,12.7,00.4,HIEA+HISA/Kin,05.4,-054,29.21,44.42,158.09,146.56,1915.69,3758.88,0.00,1.73,1.09
G019.588-00.049,C,19.588,-0.049,62,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.593-00.245,G,19.593,-0.245,31,,G019.608-00.233,,,,,,,,,,,1.23,1.52,1.01,1.30,14.76,49.13,0.00,0.00,0.00
G019.594+00.024,K,19.594,0.024,42,G019.594+00.024a,,35.3,Anderson et al. (2011),,,,,,,05.7,,1.03,0.66,0.85,1.36,44.28,113.36,115.03,0.08,0.10
G019.604-00.905,K,19.605,-0.905,60,G019.600-00.900,,38.7,Sewilo et al. (2004),34.4,NH3,F,12.8,00.4,H2CO/Kin,05.6,-201,27.86,26.25,54.06,50.46,905.88,1576.56,0.00,0.00,0.24
G019.609-00.239,K,19.609,-0.238,86,G019.608-00.233,G019.608-00.233,42.5,Quireza et al. (2006),41.0,NH3,F,12.6,00.4,IRDC+HISA (Mol)/Kin,05.4,-052,43.19,61.69,222.58,199.40,6215.28,9555.16,0.00,3.02,3.47
G019.611-00.254,G,19.612,-0.254,31,,G019.608-00.233,,,42.0,NH3,N,03.4,00.4,IRDC+HISA (Mol)/Kin,05.4,-015,1.97,1.87,6.42,9.03,184.88,691.10,0.00,0.14,0.00
G019.614-00.219,G,19.615,-0.219,31,,G019.608-00.233,,,41.2,HCO+,,,,,05.4,,1.79,4.52,19.44,20.77,215.72,427.57,0.00,0.16,0.00
G019.626-00.228,G,19.627,-0.228,31,,G019.608-00.233,,,,,,,,,,,2.17,1.93,1.28,1.50,-2.04,-0.89,0.00,0.00,0.00
G019.629-00.095,K,19.629,-0.094,327,G019.614-00.132,,58.6,Lockman (1989),,,F,11.7,00.4,HIEA+HISA/Kin,04.7,-019,117.36,121.96,376.57,379.14,5964.84,16174.27,0.00,5.02,4.29
G019.631+00.030,Q,19.632,0.031,49,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.666-00.309,K,19.667,-0.308,71,G019.662-00.305,,44.3,Anderson et al. (2011),,,F,12.5,00.4,HIEA/Kin,05.3,-067,0.08,0.12,1.94,1.69,57.36,117.75,144.71,0.20,0.18
G019.675-00.226,K,19.676,-0.225,211,G019.608-00.233,G019.608-00.233,42.5,Quireza et al. (2006),,,,,,,05.4,,22.74,39.97,183.44,175.66,1614.31,3591.31,0.00,3.38,2.21
G019.677-00.134,K,19.677,-0.133,60,G019.671-00.137,,55.0,Lockman (1989),56.0,NH3,F,11.9,00.4,HIEA+HISA/Kin,04.8,-027,18.61,25.15,85.40,78.94,990.55,1312.33,0.00,0.79,0.92
G019.697-00.268,C,19.698,-0.268,25,,,,,42.0,NH3,F,12.6,00.4,IRDC+HISA (Mol)/Kin,05.4,-058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.716-00.261,K,19.716,-0.261,58,G019.716-00.261,,40.1,Anderson et al. (2015b),42.0,NH3,F,12.7,00.4,HIEA/Kin,05.5,-057,2.16,2.39,4.11,3.66,71.69,283.01,40.21,0.11,0.00
G019.718-00.239,C,19.718,-0.238,17,,,,,40.5,13CO,,,,,05.5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.728-00.113,K,19.728,-0.113,42,G019.728-00.113a,,57.3,Anderson et al. (2011),60.0,NH3,F,11.8,00.4,IRDC+HISA (Mol)/Kin,04.8,-023,1.53,1.16,5.51,6.45,143.39,288.24,49.92,0.03,0.03
G019.741+00.280,K,19.741,0.280,42,G019.741+00.280,,16.3,Anderson et al. (2011),19.3,HCO+,F,14.4,00.7,HIEA/Kin,07.0,0070,5.38,5.77,11.72,13.30,228.20,405.77,269.89,0.25,0.25
G019.754-00.129,C,19.755,-0.128,65,,,,,120.0,NH3,F,09.4,00.8,IRDC+HISA (Mol)/Kin,03.2,-020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.780+00.286,K,19.781,0.287,111,G019.786+00.285,,-9.3,Anderson et al. (2011),,,F,17.5,01.3,OG/Kin,09.9,0087,0.54,2.95,8.22,8.07,108.95,290.80,455.80,0.44,0.42
G019.783-00.628,C,19.783,-0.628,487,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.818+00.010,K,19.818,0.010,112,G019.813+00.010a,,60.4,Anderson et al. (2011),,,,,,,04.7,,10.28,8.22,9.84,9.61,288.45,913.51,187.08,0.23,0.21
G019.821-00.325,Q,19.822,-0.324,63,,,,,44.0,NH3,N,03.5,00.4,IRDC+HISA (Mol)/Kin,05.3,-019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.832-00.777,Q,19.832,-0.777,47,,,,,42.8,CS,,,,,05.4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.868+00.033,Q,19.869,0.033,54,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.876-00.093,Q,19.876,-0.092,27,,,,,117.0,NH3,F,09.5,00.7,IRDC+HISA (Mol)/Kin,03.2,-015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.883-00.534,Q,19.884,-0.533,50,,,,,43.0,NH3,N,03.5,00.4,IRDC+HISA (Mol)/Kin,05.4,-032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.971+00.418,C,19.971,0.419,47,,,,,16.0,NH3,F,14.4,00.7,IRDC+HISA (Mol)/Kin,07.1,0105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.973+00.150,Q,19.974,0.150,231,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G019.986+00.094,Q,19.986,0.094,29,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.068+00.305,Q,20.069,0.306,91,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.070-00.144,K,20.071,-0.143,32,G020.074-00.141,,42.2,Lockman (1989),41.0,NH3,F,12.6,00.4,HIEA+HISA/Kin,05.4,-031,2.55,4.14,11.44,16.14,134.88,141.12,0.00,0.25,0.10
G020.077-00.141,K,20.077,-0.140,32,G020.074-00.141,,42.2,Lockman (1989),41.0,NH3,F,12.6,00.4,IRDC+HISA (Mol)/Kin,05.4,-030,2.99,4.86,23.35,17.10,362.50,687.70,0.00,0.32,0.00
G020.083-00.135,K,20.084,-0.134,32,G020.074-00.141,,42.2,Lockman (1989),41.0,NH3,F,12.6,00.4,IRDC+HISA (Mol)/Kin,05.4,-029,1.56,3.00,11.71,19.72,1536.13,2313.36,0.00,0.19,0.00
G020.098-00.123,K,20.098,-0.123,42,G020.098-00.123,,43.4,Anderson et al. (2011),42.5,13CO,F,12.5,00.4,HIEA/Kin,05.4,-026,0.92,1.26,5.61,6.38,93.07,162.88,275.68,0.08,0.10
G020.139-00.064,Q,20.140,-0.063,29,,,,,58.5,HCO+,,,,,04.8,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.150-00.335,K,20.150,-0.335,565,G020.209-00.273,,67.3,"Lockman, Pisano, Howard (1996)",,,,,,,04.5,,72.92,105.10,196.86,166.75,2874.21,-6558.90,0.00,4.29,1.83
G020.151-00.057,Q,20.152,-0.056,29,,,,,63.0,NH3,F,11.5,00.4,IRDC+HISA (Mol)/Kin,04.6,-011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.207+00.463,Q,20.208,0.464,36,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.227+00.110,K,20.227,0.110,71,G020.227+00.110,,22.1,Anderson et al. (2011),,,F,13.9,00.6,HIEA/Kin,06.6,0026,1.48,1.33,2.21,2.36,51.58,139.55,63.07,0.06,0.07
G020.234+00.084,Q,20.235,0.085,17,,,,,72.0,NH3,F,11.1,00.4,IRDC+HISA (Mol)/Kin,04.3,0016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.297-00.214,Q,20.297,-0.213,38,,,,,96.0,NH3,F,10.2,00.4,IRDC+HISA (Mol)/Kin,03.7,-038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.321+00.075,C,20.321,0.076,49,,,,,67.0,NH3,F,11.3,00.4,IRDC+HISA (Mol)/Kin,04.5,0014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.329-00.059,C,20.330,-0.058,62,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.335+00.252,C,20.335,0.252,63,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.344-00.620,Q,20.345,-0.620,69,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.363-00.014,K,20.363,-0.014,42,G020.363-00.014,,54.1,Anderson et al. (2011),52.7,HCO+,F,11.9,00.4,HIEA/Kin,04.9,-002,0.25,0.16,2.30,3.21,86.77,381.74,70.17,0.06,0.06
G020.387-00.018,C,20.387,-0.018,53,,,,,49.0,NH3,F,12.2,00.4,IRDC+HISA (Mol)/Kin,05.2,-003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.427-00.074,C,20.427,-0.074,129,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.432+00.357,C,20.433,0.357,42,,,,,-10.4,HCO+,F,17.5,01.4,OG (Mol)/Kin,10.0,0109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.455-00.025,C,20.456,-0.025,98,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.457+00.021,K,20.458,0.022,104,G020.450+00.025,,73.8,Anderson et al. (2011),,,F,11.1,00.4,HIEA/Kin,04.3,0004,3.66,6.37,11.86,10.84,149.92,431.81,374.50,0.40,0.40
G020.481+00.168,K,20.482,0.169,155,G020.479+00.165,,24.1,Lockman (1989),20.0,NH3,F,13.7,00.5,IRDC+HISA (Mol)/Kin,06.5,0040,17.51,20.16,56.42,56.53,970.67,3147.77,0.00,2.35,1.88
G020.483-00.692,Q,20.484,-0.691,46,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.490-00.084,C,20.490,-0.083,70,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.493-00.043,Q,20.494,-0.042,90,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.524+00.501,C,20.525,0.501,59,,,,,25.6,NH3,,,,,06.4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.542-00.179,K,20.542,-0.179,181,G020.533-00.187,,48.6,Anderson et al. (2011),50.0,NH3,N,03.7,00.4,HIEA/Kin,05.2,-011,20.27,22.96,24.80,25.07,379.02,783.50,302.64,0.61,0.47
G020.550+00.053,C,20.551,0.053,41,,,,,123.0,NH3,F,09.1,02.8,IRDC+HISA (Mol)/Kin,03.2,0008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.568+00.061,Q,20.569,0.062,35,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.576+00.103,K,20.576,0.104,96,G020.576+00.104,,28.8,Anderson et al. (2015b),,,,,,,06.2,,0.91,2.50,3.51,2.66,32.05,-45.70,112.56,0.00,0.00
G020.710-00.290,C,20.710,-0.289,73,,,,,61.9,HCO+,,,,,04.7,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.727-00.259,K,20.728,-0.259,248,G20.7-1,,55.2,Anderson et al. (2017),,,,,,HIEA/Kin,04.9,,38.10,44.58,94.12,87.70,1146.98,3355.24,0.00,2.16,1.93
G020.728-00.105,K,20.729,-0.104,397,G020.734-00.087,G020.734-00.087,56.0,Quireza et al. (2006),,,F,11.8,00.4,HIEA+HISA/Kin,04.9,-021,390.49,504.83,1906.27,1879.39,17389.95,34389.09,0.00,19.10,15.14
G020.750-00.090,G,20.750,-0.090,30,,G020.734-00.087,,,58.0,NH3,F,11.7,00.4,IRDC+HISA (Mol)/Kin,04.8,-018,2.55,3.34,13.49,15.84,237.38,685.45,0.00,0.17,0.00
G020.761-00.066,G,20.762,-0.065,30,,G020.734-00.087,,,56.9,NH3,F,11.8,00.4,HISA (Mol)/Kin,04.9,-013,6.52,6.57,18.67,16.23,377.91,621.54,0.00,0.04,0.00
G020.794+00.110,Q,20.795,0.111,36,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.855+00.174,C,20.855,0.174,36,,,,,57.8,HCO+,,,,,04.9,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.959+00.055,Q,20.960,0.055,47,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.962-00.075,C,20.962,-0.075,20,,,,,30.9,HCO+,,,,,06.1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.966-00.455,K,20.967,-0.455,922,G021.143-00.298,G021.143-00.298,38.5,"Lockman, Pisano, Howard (1996)",,,F,12.8,00.4,HIEA+HISA/Kin,05.7,-101,32.69,111.69,39.22,-12.83,35.47,-16242.86,0.00,0.00,0.00
G020.974-00.072,C,20.974,-0.072,23,,,,,30.9,HCO+,,,,,06.1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G020.988+00.092,K,20.988,0.092,130,G020.988+00.092,,18.6,Lockman (1989),19.0,HCO+,F,14.1,00.6,HIEA+HISA/Kin,06.9,0022,33.55,41.28,108.44,108.11,1563.16,3198.36,0.00,1.51,1.45
G021.004-00.056,K,21.004,-0.056,42,G021.004-00.056,,28.8,Anderson et al. (2011),31.0,NH3,F,13.4,00.5,HIEA/Kin,06.2,-013,2.07,1.55,1.71,2.57,86.42,206.90,148.71,0.05,0.05
G021.128+00.036,Q,21.128,0.036,129,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.137-00.307,Q,21.138,-0.306,44,,,,,35.0,NH3,F,13.0,00.5,IRDC+HISA (Mol)/Kin,05.9,-069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.185-00.343,G,21.185,-0.342,55,,G021.143-00.298,,,35.0,NH3,F,13.0,00.5,IRDC+HISA (Mol)/Kin,05.9,-077,4.60,3.88,4.43,4.77,113.73,292.26,0.00,0.05,0.06
G021.191-00.321,G,21.191,-0.320,43,,G021.143-00.298,,,35.0,NH3,F,13.0,00.5,IRDC+HISA (Mol)/Kin,05.9,-072,1.81,1.86,2.86,3.41,60.86,132.94,0.00,0.10,0.11
G021.248+00.062,C,21.248,0.063,59,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.250-00.304,C,21.250,-0.304,129,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.290-00.141,C,21.290,-0.140,126,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.310-00.616,Q,21.311,-0.616,24,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.348-00.543,C,21.348,-0.542,222,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.348-00.136,C,21.348,-0.136,76,,,,,66.0,NH3,N,04.5,00.4,IRDC+HISA (Mol)/Kin,04.6,-010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.356-00.179,C,21.357,-0.178,51,,,,,91.0,NH3,F,10.3,00.4,IRDC+HISA (Mol)/Kin,03.9,-032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.372-00.228,Q,21.373,-0.228,23,,,,,90.0,NH3,F,10.4,00.4,IRDC+HISA (Mol)/Kin,03.9,-041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.378-00.295,Q,21.379,-0.295,43,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.386-00.255,K,21.386,-0.254,57,G021.386-00.254,,91.2,Anderson et al. (2011),91.0,NH3,N,05.5,00.4,HIEA/Kin,03.9,-024,2.30,4.33,21.50,19.19,497.86,1114.82,212.23,0.05,0.11
G021.404-00.238,C,21.404,-0.237,82,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.424-00.661,Q,21.425,-0.660,67,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.426-00.546,K,21.427,-0.546,60,G021.440-00.560,,70.2,Sewilo et al. (2004),,,N,04.7,00.4,HIEA+HISA/Kin,04.5,-044,26.14,19.40,56.62,38.89,1168.47,1940.78,0.00,0.08,0.10
G021.433-00.273,Q,21.433,-0.272,72,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.450-00.590,K,21.451,-0.590,122,G021.460-00.588,,72.7,Anderson et al. (2011),,,,,,,04.4,,7.26,12.23,49.43,51.24,394.53,194.35,279.00,0.28,0.29
G021.474-00.156,C,21.475,-0.156,42,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.483-00.237,Q,21.484,-0.237,27,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.494-00.159,C,21.494,-0.158,42,,,,,59.0,NH3,F,11.7,00.4,IRDC+HISA (Mol)/Kin,04.9,-032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.496-00.463,C,21.496,-0.462,66,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.499-00.239,Q,21.499,-0.238,22,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.521-00.253,C,21.521,-0.253,114,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.541+01.675,Q,21.541,1.676,35,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.560-00.108,K,21.560,-0.108,175,G021.558-00.112,,115.1,Anderson et al. (2015a),72.9;120.8,13CO,,,,,03.4,,21.40,19.45,45.84,46.98,596.19,1963.28,0.00,0.57,0.38
G021.596-00.161,C,21.597,-0.161,25,,,,,120.0,NH3,N,06.7,00.1,IRDC+HISA (Mol)/Kin,03.4,-018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G021.603-00.169,K,21.603,-0.169,31,G021.603-00.169,,-4.7,Anderson et al. (2015b),,,F,16.5,01.1,OG/Kin,09.2,-048,1.24,1.10,3.09,3.70,80.81,130.51,130.02,0.04,0.06
G021.634-00.003,K,21.634,-0.002,113,G021.638-00.005,,20.2,Anderson et al. (2015b),,,,,,,06.8,,3.84,2.78,4.04,4.85,43.76,-219.27,265.27,0.45,0.23
